analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A1.7,variable specification,"""8. Total score 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",0,,,,,,
A1.7,variable specification,"""8. Total score 1""",table,"file cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",0,,,,,,
A1.7,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.7,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.7,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.8,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.8,variable specification,"""3. Quality of writing 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.8,variable specification,"""3. Quality of writing 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.8,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.8,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.8,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.9,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.9,variable specification,"""4. Sophistication of theory 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.9,variable specification,"""4. Sophistication of theory 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.9,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.9,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.9,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.10,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.10,variable specification,"""5. Appropriateness of methods and design 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.10,variable specification,"""5. Appropriateness of methods and design 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.10,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.10,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.10,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.11,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.11,variable specification,"""6. Presentation and discussion of results 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.11,variable specification,"""6. Presentation and discussion of results 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.11,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.11,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.11,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.12,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.12,variable specification,"""7. Overall recommendation 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.12,variable specification,"""7. Overall recommendation 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.12,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.12,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.12,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.13,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.13,variable specification,"""8. Total score 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.13,variable specification,"""8. Total score 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.13,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.13,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.13,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.14,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.14,variable specification,"""4. Sophistication of theory 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.14,variable specification,"""4. Sophistication of theory 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.14,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.14,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.14,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.15,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.15,variable specification,"""5. Appropriateness of methods and design 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.15,variable specification,"""5. Appropriateness of methods and design 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.15,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.15,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.15,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.16,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.16,variable specification,"""6. Presentation and discussion of results 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.16,variable specification,"""6. Presentation and discussion of results 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.16,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.16,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.16,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.17,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.17,variable specification,"""7. Overall recommendations 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.17,variable specification,"""7. Overall recommendations 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.17,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.17,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.17,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.18,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.18,variable specification,"""8. Total score 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.18,variable specification,"""8. Total score 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.18,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.18,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.18,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.19,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.19,variable specification,"""5. Appropriateness of methods and design 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.19,variable specification,"""5. Appropriateness of methods and design 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.19,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.19,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.19,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.20,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.20,variable specification,"""6. Presentation and discussion of results 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.20,variable specification,"""6. Presentation and discussion of results 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.20,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.20,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.20,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.21,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.21,variable specification,"""7. Overall recommendation 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.21,variable specification,"""7. Overall recommendation 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.21,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.21,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.21,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.22,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.22,variable specification,"""8. Total score 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.22,variable specification,"""8. Total score 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.22,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.22,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.22,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.23,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.23,variable specification,"""6. Presentation and discussion of results 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.23,variable specification,"""6. Presentation and discussion of results 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.23,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.23,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.23,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.24,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.24,variable specification,"""7. Overall recommendation 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.24,variable specification,"""7. Overall recommendation 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.24,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.24,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.24,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.25,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.25,variable specification,"""8. Total score 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.25,variable specification,"""8. Total score 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.25,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.25,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.25,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.26,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.26,variable specification,"""7. Overall recommendation 6""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.26,variable specification,"""7. Overall recommendation 6""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.26,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.26,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.26,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.27,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.27,variable specification,"""8. Total score 6""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.27,variable specification,"""8. Total score 6""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.27,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.27,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.27,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.28,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.28,variable specification,"""8. Total score 7""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.28,variable specification,"""8. Total score 7""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.28,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.28,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.28,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.1,model specification,ANOVA output for significance to media psychology,table,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,ANOVA F-test for the main effect of statistical significance of the reported results (significant vs. nonsignificant) on ratings of significance to media psychology.,"Table 4 .4Analysis of Variance Table for All the Dependent VariablesDependent variable and testSSF(1, 123)pω²Significance to media psychologyOriginality1.1110.224.637-.006Statistical significance15.8473.189.077.017Originality × Statistical Significance0.0560.011.916-.008",,"#################
# MAIN ANALYSES #
#################

a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",,1
A2.1,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,ANOVA F-test for the main effect of statistical significance of the reported results (significant vs. nonsignificant) on ratings of significance to media psychology.,"“In a 2 × 2 between-subjects experiment, we manipulated the originality and statistical significance of the research reported in a fictitious abstract.”[...] “From the base version, we derived four variants for the experimental conditions: an original study with statistically significant findings, a replication study with statistically significant findings, an original study with statistically nonsignificant findings, and a replication study with statistically nonsignificant findings.”[...] “On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...] “Table 4 .4 Analysis of Variance Table for All the Dependent Variables Dependent variable and test SS F(1, 123) p ω² Significance to media psychology Originality 1.111 0.224 .637 -.006 Statistical significance 15.847 3.189 .077 .017 Originality × Statistical Significance 0.056 0.011 .916 -.008”",,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",,1
A2.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,ANOVA F-test for the main effect of statistical significance of the reported results (significant vs. nonsignificant) on ratings of significance to media psychology.,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.",,"#Descriptives: Significance to Media Psychology
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    significance_m = mean(r_mediapsych, na.rm = TRUE),
    significance_sd = sd(r_mediapsych, na.rm = TRUE),
    significance_med = median(r_mediapsych, na.rm = TRUE),
    significance_min = min(r_mediapsych, na.rm = TRUE),
    significance_max = max(r_mediapsych, na.rm = TRUE)
  )
[...]
a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",,1
A2.1,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,ANOVA F-test for the main effect of statistical significance of the reported results (significant vs. nonsignificant) on ratings of significance to media psychology.,"“In a 2 × 2 between-subjects experiment, we manipulated the originality and statistical significance of the research reported in a fictitious abstract.”[...] “From the base version, we derived four variants for the experimental conditions: an original study with statistically significant findings, a replication study with statistically significant findings, an original study with statistically nonsignificant findings, and a replication study with statistically nonsignificant findings.”[...] “On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...] “Table 4 .4 Analysis of Variance Table for All the Dependent Variables Dependent variable and test SS F(1, 123) p ω² Significance to media psychology Originality 1.111 0.224 .637 -.006 Statistical significance 15.847 3.189 .077 .017 Originality × Statistical Significance 0.056 0.011 .916 -.008”",,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",,1
A2.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,ANOVA F-test for the main effect of statistical significance of the reported results (significant vs. nonsignificant) on ratings of significance to media psychology.,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.",,"#Descriptives: Significance to Media Psychology
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    significance_m = mean(r_mediapsych, na.rm = TRUE),
    significance_sd = sd(r_mediapsych, na.rm = TRUE),
    significance_med = median(r_mediapsych, na.rm = TRUE),
    significance_min = min(r_mediapsych, na.rm = TRUE),
    significance_max = max(r_mediapsych, na.rm = TRUE)
  )
[...]
a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",,1
A2.1,variable specification,ANOVA output for significance to media psychology,text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,ANOVA F-test for the main effect of statistical significance of the reported results (significant vs. nonsignificant) on ratings of significance to media psychology.,"“In a 2 × 2 between-subjects experiment, we manipulated the originality and statistical significance of the research reported in a fictitious abstract.”[...] “From the base version, we derived four variants for the experimental conditions: an original study with statistically significant findings, a replication study with statistically significant findings, an original study with statistically nonsignificant findings, and a replication study with statistically nonsignificant findings.”[...] “On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...] “Table 4 .4 Analysis of Variance Table for All the Dependent Variables Dependent variable and test SS F(1, 123) p ω² Significance to media psychology Originality 1.111 0.224 .637 -.006 Statistical significance 15.847 3.189 .077 .017 Originality × Statistical Significance 0.056 0.011 .916 -.008”",,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",,1
A2.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,ANOVA F-test for the main effect of statistical significance of the reported results (significant vs. nonsignificant) on ratings of significance to media psychology.,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.",,"#Descriptives: Significance to Media Psychology
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    significance_m = mean(r_mediapsych, na.rm = TRUE),
    significance_sd = sd(r_mediapsych, na.rm = TRUE),
    significance_med = median(r_mediapsych, na.rm = TRUE),
    significance_min = min(r_mediapsych, na.rm = TRUE),
    significance_max = max(r_mediapsych, na.rm = TRUE)
  )
[...]
a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",,1
