analysis_id,brief_description,dimension,paper_text,code_text,match_status,explanation,dimension_norm
3,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the sophistication of the theory and conceptualization.,Transformation Specification,"“Zero-order correlations are reported in Table 3.” [...] “The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).” [...] “On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”","# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",unknown,"The paper describes computing zero-order correlations between self-reported familiarity and sophistication ratings without mentioning any transformations beyond using the 0–10 rating scales, but the shared code explicitly omits the familiarity variable and only correlates columns 5–11, so the transformation applied to familiarity in the actual analysis cannot be determined. Because the relevant variable is absent from the code, the transformation specifications for this particular correlation cannot be directly compared.",transform
3,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the sophistication of the theory and conceptualization.,Inference Specification,"“The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 (90% power for r > .282, and 95% power for r > .312 ).”","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both paper and code specify sensitivity/power for bivariate correlations with n = 127 (80/90/95% power) and treat the correlations descriptively without additional alpha or CI-based decision rules for interpreting each coefficient. The code makes explicit that these power values are computed at sig.level = .05, which is consistent with but more detailed than the paper’s description and does not conflict with it.",inference
4,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the appropriateness of the methods and research design.,Model Specification,Zero-order correlations are reported in Table 3.[...]Table 3 .3Zero-Order Correlations,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper specifies that the analysis uses zero-order correlations, and the code implements this using R’s cor() function under the ""ZERO ORDER CORRELATIONS"" section, so the statistical test type matches.",model
4,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the appropriateness of the methods and research design.,Variable Specification,"“Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.” [...] “Additional variables. The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).” [...] “Table 3 .3 Zero-Order Correlations Variable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-4. Sophistication of theory.186.511.539-5. Appropriateness of methods and design.123.465.448.484-6. Presentation and discussion of results.057.539.512.567.500-7. Overall recommendation.196.702.496.616.731.676-8. Total score.204.761.617.722.777.757.972-”","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"The paper specifies a zero-order correlation between “Self-reported familiarity with the topic” and “Appropriateness of methods and design,” whereas the code explicitly notes that self-reported familiarity is not included and computes correlations only among columns 5–11 of the dataset. Thus, the specific bivariate correlation using the familiarity variable described in the paper is not implemented in the shared code.",variables
4,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the appropriateness of the methods and research design.,Transformation Specification,"“The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).”[...]“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Zero-order correlations are reported in Table 3.”","# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes the variables only as single 0–10 ratings and does not report any transformation before computing zero-order correlations, and the code similarly computes a correlation matrix directly on the raw score columns without any recoding or aggregation. Thus, both implementations use untransformed scale scores for this correlation.",transform
4,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the appropriateness of the methods and research design.,Inference Specification,"The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).[...]Zero-order correlations are reported in Table 3.","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)[...]###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and code treat the zero‑order correlations descriptively and only provide a sensitivity/power analysis for bivariate correlations at n = 127 (with the code explicitly using sig.level = .05), without specifying any additional alpha-based decision rule for testing the specific correlation between self-reported familiarity and appropriateness of methods/design. Thus, the inferential setup for these correlations aligns in being limited to power considerations rather than formal hypothesis-testing thresholds.",inference
5,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the presentation and discussion of results.,Model Specification,"“Zero-order correlations are reported in Table 3.” [...] “Table 3 .3Zero-Order Correlations” [...] “The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 (90% power for r > .282, and 95% power for r > .312).”","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper specifies that simple zero-order (bivariate) correlations are used, and the code implements this via R’s cor() function to compute a zero-order correlation matrix. Thus, the model specification for this analysis matches between paper and code.",model
5,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the presentation and discussion of results.,Variable Specification,"Additional variables. The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).[...]On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-[...]6. Presentation and discussion of results.","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"The paper specifies a zero-order correlation between 'Self-reported familiarity with the topic' and 'Presentation and discussion of results', whereas the code’s zero-order correlations explicitly exclude self-reported familiarity and correlate only columns 5–11 of the dataset. Thus, the predictor variable used in the paper’s correlation is absent from the implemented correlation in the code.",variables
5,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the presentation and discussion of results.,Transformation Specification,"“The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).” [...] “On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.” [...] “Zero-Order Correlations” [...] “1. Self-reported familiarity with the topic [...] 6. Presentation and discussion of results [...] .057”","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"The paper specifies that zero-order correlations are computed between the raw 0–10 ratings for self-reported familiarity and the presentation/discussion-of-results rating, with no additional transformations, whereas the code computes correlations only among columns 5–11 of the dataset and explicitly notes that self-reported familiarity is not included. Thus, the implementation for this correlation omits the familiarity variable entirely, conflicting with the paper’s described analysis.",transform
5,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the presentation and discussion of results.,Inference Specification,"“The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 (90% power for r > .282, and 95% power for r > .312).”[...]“Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach's α = .05.”","“pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)”[...]“###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])”",match,"Both paper and code base their correlation analysis on sensitivity/power calculations for bivariate correlations at 80–95% power with a significance level of .05 and then compute zero-order correlations without additional inferential criteria, so the implemented inference specification matches the description. The paper does not explicitly state α for the correlations but refers to a default α = .05 and reports the same power results implied by the code’s pwr.r.test calls.",inference
6,Correlation between reviewers’ self-reported familiarity with the topic and their overall recommendation (from definitely reject to definitely accept).,Model Specification,“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3Zero-Order Correlations”,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and the code specify the use of zero-order (simple bivariate) correlations for this analysis. The code implements this via the generic correlation function `cor()`, matching the paper’s zero-order correlation specification.",model
6,Correlation between reviewers’ self-reported familiarity with the topic and their overall recommendation (from definitely reject to definitely accept).,Variable Specification,"""The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps)."" [...] ""Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept."" [...] ""Table 3 .3 Zero-Order Correlations Variable 1 2 3 4 5 6 7 8 1. Self-reported familiarity with the topic - [...] 7. Overall recommendation .196 [...]""","""###########################\n# ZERO ORDER CORRELATIONS #\n###########################\n# NOTE: Self-reported familiarity not included in shareable file\ncor(datafile[,5:11])""",mismatch,"The paper specifies a zero-order correlation between ""Self-reported familiarity with the topic"" and ""Overall recommendation,"" but the code explicitly notes that self-reported familiarity is not included and computes correlations only among columns 5 to 11 of the data file. Thus, the variables used for the correlation analysis in the code do not match the variables described in the paper for this analysis.",variables
6,Correlation between reviewers’ self-reported familiarity with the topic and their overall recommendation (from definitely reject to definitely accept).,Transformation Specification,"“The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).”[...]“Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.”[...]“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3Zero-Order Correlations[...]1. Self-reported familiarity with the topic[...]7. Overall recommendation.196”","# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"The paper reports a zero-order correlation directly between “Self-reported familiarity with the topic” and “Overall recommendation” on their original 0–10 scales, with no transformations described. The code instead computes correlations only on columns 5–11 and explicitly notes that self-reported familiarity is not included, so the specified analysis (and any associated transformations) is not implemented for this variable pair.",transform
6,Correlation between reviewers’ self-reported familiarity with the topic and their overall recommendation (from definitely reject to definitely accept).,Inference Specification,"The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).","########################
# SENSITIVITY ANALYSES #
########################

pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)

[...]

###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"For the zero-order correlations (including familiarity with the topic and overall recommendation), the paper specifies only sensitivity/power for detectable bivariate correlations, and the code mirrors this with matching pwr.r.test settings and a descriptive cor() call without additional inferential criteria. The omission of an explicit alpha level in the paper versus sig.level = .05 in the code reflects the same conventional assumption rather than a substantive difference in inference specification.",inference
7,Correlation between reviewers’ self-reported familiarity with the topic and the computed total score for the abstract.,Model Specification,“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3 Zero-Order Correlations”,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and the code describe and implement simple zero-order correlations among the variables, with no additional predictors or covariates. The code’s use of base R’s cor() on a set of columns corresponds to the zero-order correlation approach reported in the paper.",model
7,Correlation between reviewers’ self-reported familiarity with the topic and the computed total score for the abstract.,Variable Specification,"Additional variables. The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).[...]Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).[...]Table 3 .3 Zero-Order Correlations Variable 1. Self-reported familiarity with the topic [...] 8. Total score.","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"The paper specifies a zero-order correlation between “self-reported familiarity with the topic” and “total score,” but the code explicitly notes that self-reported familiarity is not in the dataset and instead computes correlations only among columns 5–11, so the intended variable pair is not implemented. Thus, the variables entering the correlation in the code do not match the variable specification in the paper.",variables
7,Correlation between reviewers’ self-reported familiarity with the topic and the computed total score for the abstract.,Transformation Specification,"“Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%). In the case of regularly submitted abstracts, the mean of total scores across the assigned reviewers ultimately determined acceptance to the conference.” [...] “Additional variables. The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).” [...] “Table 3 .3 Zero-Order Correlations Variable 1. Self-reported familiarity with the topic- [...] 8. Total score.204.”","""# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])"" [...] ""#Descriptives: Total
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    total_m = mean(r_total, na.rm = TRUE),
    total_sd = sd(r_total, na.rm = TRUE),
    total_med = median(r_total, na.rm = TRUE),
    total_min = min(r_total, na.rm = TRUE),
    total_max = max(r_total, na.rm = TRUE)
  )"" [...] ""total <- ggplot(datafile, aes(y=as.factor(paper_version),
                                x=r_total,
                                fill=as.factor(paper_version))) +""",mismatch,"The paper’s transformation specification for this analysis involves a computed weighted composite “total score” and uses the self-reported familiarity variable directly in the zero-order correlation matrix, whereas the code uses a precomputed r_total variable and explicitly omits self-reported familiarity from the correlation computation. Because the familiarity variable is excluded in the code, the specific correlation between familiarity and total score described in the paper is not implemented on the shared data, constituting a mismatch in how the analysis is operationalized.",transform
7,Correlation between reviewers’ self-reported familiarity with the topic and the computed total score for the abstract.,Inference Specification,"“Zero-order correlations are reported in Table 3.” [...] “The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).”","“pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)” [...] “cor(datafile[,5:11])”",match,"Both the paper and the code specify only a sensitivity/power analysis for bivariate correlations (with n = 127 and, in the code, sig.level = .05) and then compute/report zero-order correlations without any additional inferential decision rule (e.g., alpha threshold or confidence intervals) for these correlations. Thus, the inferential specification for this correlation analysis is aligned in intent and implementation.",inference
8,Correlation between the rating of significance to media psychology and the rating of quality of the writing.,Model Specification,“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-”,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and the code compute zero-order correlations among the variables, including between ‘Significance to media psychology’ and ‘Quality of writing’. The code’s call to cor() implements the same zero-order correlation matrix described and labeled as such in Table 3 of the paper.",model
8,Correlation between the rating of significance to media psychology and the rating of quality of the writing.,Variable Specification,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.” [...] “Zero-order correlations are reported in Table 3.” [...] “2. Significance to media psychology” [...] “3. Quality of writing”","#Descriptives: Significance to Media Psychology
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    significance_m = mean(r_mediapsych, na.rm = TRUE),
    significance_sd = sd(r_mediapsych, na.rm = TRUE),
    significance_med = median(r_mediapsych, na.rm = TRUE),
    significance_min = min(r_mediapsych, na.rm = TRUE),
    significance_max = max(r_mediapsych, na.rm = TRUE)
  )

#Descriptives: Quality of Writing
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    writing_m = mean(r_writing, na.rm = TRUE),
    writing_sd = sd(r_writing, na.rm = TRUE),
    writing_med = median(r_writing, na.rm = TRUE),
    writing_min = min(r_writing, na.rm = TRUE),
    writing_max = max(r_writing, na.rm = TRUE)
  )

###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"In both the paper and the code, the variables in this zero-order correlation are the evaluation criteria “significance to media psychology” (implemented as r_mediapsych) and “quality of the writing” (implemented as r_writing), with no predictor/outcome distinction. The code computes a correlation matrix including these variables, matching the paper’s zero-order correlation in Table 3.",variables
8,Correlation between the rating of significance to media psychology and the rating of quality of the writing.,Transformation Specification,"Zero-order correlations are reported in Table 3.[...]Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.","datafile = read.csv(""data.csv"")[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes zero-order correlations between the raw 0–10 evaluation ratings, and the code computes a zero-order correlation matrix directly on the corresponding untransformed rating variables. No additional data transformations (e.g., averaging, trimming, or rescaling) are applied to the significance-to-media-psychology or quality-of-writing ratings before computing their correlation in either source.",transform
8,Correlation between the rating of significance to media psychology and the rating of quality of the writing.,Inference Specification,"The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and the code treat the zero-order correlations descriptively and provide identical sensitivity/power calculations for bivariate correlations (with α = .05 in the code), without specifying any further inferential decision rule for those correlations. Thus, the inference specification used for the correlation between significance to media psychology and quality of writing matches between paper and code.",inference
9,Correlation between the rating of significance to media psychology and the rating of sophistication of theory and conceptualization.,Model Specification,“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3Zero-Order Correlations”,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper specifies that the analysis uses zero-order correlations, and the code implements this by computing an (unadjusted) correlation matrix with cor(). Thus, the model specification matches between paper and code.",model
