analysis_id,brief_description,dimension,paper_text,code_text,match_status,explanation,dimension_norm
7,"Welch independent-samples t-test comparing Time 2 mean negative affect PANAS scores between participants who saw the anchor items before versus after the PANAS, using the full sample.",Inference Specification,"""In the analyses I used Welch's independent samples t-tests.""[...]""For negative affect, people who saw the anchor-items before (M = 1.81, SD = 0.79) had statistically nonsignificant differences in Time 2 scores compared to people who saw the anchor-items after (M = 1.80, SD = 0.77), t(896.97) = 0.11, p = .910, mean difference = 0.01, CI 95%[-0.10, 0.11], d = 0.01, CI 95%[-0.12, 0.14]-this difference was centred almost exactly on zero.""[...]""Indeed, all of the observed raw and standardized effect sizes were tiny. Moreover, based on the above confidence intervals, if the anchor-position does affect the change scores (and thus the smallest subjectively experience difference) or people's ratings at Time 2, then the effect size for how much it matters is likely to be smaller than d = 0.20.""","#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
t.test(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
sd(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""])
sd(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
cohen.d(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""],
        data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)


t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])
sd(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""])
sd(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])
cohen.d(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""],
        data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",match,"The paper describes using Welch independent-samples t-tests with 95% confidence intervals and Cohen's d (with CIs) to assess the between-group difference, and interprets effects as tiny and likely below d = 0.20. The code implements the same inferential approach via t.test (default Welch, 95% CI) and cohen.d with conf.level=0.95 for the before-versus-after comparison on Time 2 negative affect.",inference
8,"Welch independent-samples t-test comparing negative affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.",Model Specification,"In the analyses I used Welch's independent samples t-tests.[...]And the difference in change scores for negative affect between people who saw the anchor items before (M = -0.12, SD = 0.65) the PANAS as compared to after (M = -0.08, SD = 0.69) were also statistically nonsignificant, t(900.89) = 0.83, p = .407, mean difference = 0.04, CI 95%[-0.05, 0.12], d = 0.06, CI 95%[-0.08, 0.19].","#### comparing before vs after groups on PA and NA at Time 2 and change scores ####[...]t.test(data$NA_change[data$Anchor.Position==""Anchor Before""], \n  data$NA_change[data$Anchor.Position==""Anchor After""])",match,"The paper specifies that Welch's independent-samples t-tests were used for these comparisons, and the code implements the analysis with R's t.test on NA_change for the two anchor-position groups, which by default conducts a Welch unequal-variances independent t-test. Thus, the model specification in the code matches the model specification described in the paper.",model
8,"Welch independent-samples t-test comparing negative affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.",Variable Specification,"""And the difference in change scores for negative affect between people who saw the anchor items before (M = -0.12, SD = 0.65) the PANAS as compared to after (M = -0.08, SD = 0.69) were also statistically nonsignificant, t(900.89) = 0.83, p = .407, mean difference = 0.04, CI 95%[-0.05, 0.12], d = 0.06, CI 95%[-0.08, 0.19].""[...]""I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses. [...] This is because the following analyses examine the full sample, rather than focusing only on the \""a little less/more\"" groups.""[...]""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. [...] I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.""","data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)

## each person's change score for PA and NA from D1 to D2
[...]
data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean
[...]
#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
[...]
t.test(data$NA_change[data$Anchor.Position==""Anchor Before""], 
  data$NA_change[data$Anchor.Position==""Anchor After""])
[...]
cohen.d(data$NA_change[data$Anchor.Position==""Anchor Before""],
        data$NA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",match,"Both the paper and code use the negative affect change score as the dependent variable and compare it between participants with the anchor presented before versus after the PANAS, using the full sample. The grouping factor and the construction of the change score match across descriptions.",variables
8,"Welch independent-samples t-test comparing negative affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.",Transformation Specification,"“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.[...]To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.”[...]“I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey.[...]The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2. Of these, there were 440 participants who responded to the anchor-items before the PANAS at Time 2 and 463 who responded to the anchor-items after the PANAS.”[...]“I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.”","data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)

## each person's change score for PA and NA from D1 to D2
data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean
[...]
#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
t.test(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
[...]
t.test(data$NA_change[data$Anchor.Position==""Anchor Before""], 
  data$NA_change[data$Anchor.Position==""Anchor After""])",match,"The paper describes averaging the ten negative-affect PANAS items at each time point and then forming a negative-affect change score as Time 2 minus Time 1, using the full sample split only by anchor position, and the code implements exactly this via rowMeans for PANAS_NA_D1mean/PANAS_NA_D2mean, NA_change = PANAS_NA_D2mean − PANAS_NA_D1mean, and an independent-samples t-test comparing NA_change between “Anchor Before” and “Anchor After”. The use of rowMeans with na.rm=TRUE is consistent with the paper’s stated prior exclusion of participants with missing responses, so there is no substantive transformation discrepancy.",transform
8,"Welch independent-samples t-test comparing negative affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.",Inference Specification,"And the difference in change scores for negative affect between people who saw the anchor items before (M = -0.12, SD = 0.65) the PANAS as compared to after (M = -0.08, SD = 0.69) were also statistically nonsignificant, t(900.89) = 0.83, p = .407, mean difference = 0.04, CI 95%[-0.05, 0.12], d = 0.06, CI 95%[-0.08, 0.19]. Again, the observed raw and standardized effect sizes were tiny.[...]Moreover, based on the above confidence intervals, if the anchor-position does affect the change scores (and thus the smallest subjectively experience difference) or people's ratings at Time 2, then the effect size for how much it matters is likely to be smaller than d = 0.20.","t.test(data$NA_change[data$Anchor.Position==""Anchor Before""], 
  data$NA_change[data$Anchor.Position==""Anchor After""]) 
[...] 
cohen.d(data$NA_change[data$Anchor.Position==""Anchor Before""],
        data$NA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",match,"The paper interprets the Welch t-test using a p-value, 95% confidence intervals, and very small effect sizes, and the code implements the same comparison with a default two-sided Welch t.test and cohen.d using conf.level=0.95. No alternative alpha or nonstandard inferential criterion is specified in either source, so the inference specifications align.",inference
9,"Correlation between positive affect anchor responses and positive affect change scores (Time 2 – Time 1), across the full sample.",Model Specification,"“The method's validity is demonstrated by the strength of the correlation between the anchor-item and: (i) the change scores on the outcome measure (e.g., PANAS difference between Time 1 and Time 2), with a positive correlation showing that the anchor-responses capture changes in the construct;” [...] “Firstly, for the anchor to be valid, it needs to correlate relatively strongly with the change scores.”","#### correlation analyses with PA anchor ####
cor.test(data$PA_change, data$AnchorPA)
cor.test(data$PANAS_PA_D2mean, data$AnchorPA)
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)",match,"The paper describes using the strength of the correlation between the anchor-item and the change scores as the validity test, and the code implements this with cor.test between PA_change and AnchorPA. Both therefore use a bivariate correlation test between the same variables as the model specification.",model
9,"Correlation between positive affect anchor responses and positive affect change scores (Time 2 – Time 1), across the full sample.",Variable Specification,"“Firstly, for the anchor to be valid, it needs to correlate relatively strongly with the change scores. Indeed, this was the case for both positive affect (r = .54"" CI 95%[.49, .58])...”[...]“To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2.”[...]“The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?"". Participants had five response options for each anchor item: much less positive/negative, a little less positive/negative, the same, a little more positive/negative, and much more positive/negative.”","## create new variables for PA and NA anchor items so responses for the anchors are
# in the same columns for both the people who saw the anchor before the PANAS 
# and those who saw the anchor after the PANAS
data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
[...]
## each person's change score for PA and NA from D1 to D2
data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
[...]
#### correlation analyses with PA anchor ####
cor.test(data$PA_change, data$AnchorPA)",match,"The paper describes correlating the Time 2 positive affect anchor responses with positive affect change scores, and the code implements a correlation between `data$AnchorPA` and `data$PA_change` constructed as Time 2 minus Time 1 positive affect means. Thus, the variables and their roles in the correlation analysis align between paper and code.",variables
9,"Correlation between positive affect anchor responses and positive affect change scores (Time 2 – Time 1), across the full sample.",Transformation Specification,"“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.[...] To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2.”","data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)

data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
[...]
cor.test(data$PA_change, data$AnchorPA)",match,"Both the paper and code construct positive affect change scores by averaging the 10 positive affect items at each time point and subtracting Time 1 from Time 2, then correlate this change score with the anchor responses across the full sample. The code also recodes anchor responses numerically, which is consistent with but more detailed than the paper’s description.",transform
9,"Correlation between positive affect anchor responses and positive affect change scores (Time 2 – Time 1), across the full sample.",Inference Specification,"The second aim of this study was to examine the anchor-item's validity correlations and see if a similar pattern emerged as compared to validity correlations reported with longer delays of two to five days (i.e., Anvari and Lakens, 2021). Firstly, for the anchor to be valid, it needs to correlate relatively strongly with the change scores. Indeed, this was the case for both positive affect (r = .54"" CI 95%[.49, .58]) and negative affect (r = .45"" CI 95% [.40, .50]). Although some researchers have suggested that a minimum correlation of .50 is necessary for good validity (Devji et al., 2020), we should be wary of interpreting benchmarks too rigidly. The present results suggest that the anchor-responses are capturing change in the construct.","#### correlation analyses with PA anchor ####
cor.test(data$PA_change, data$AnchorPA)
cor.test(data$PANAS_PA_D2mean, data$AnchorPA)
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)

cocor(~PA_change + AnchorPA | PANAS_PA_D2mean + AnchorPA, data=data)
# anchor corr with change score > anchor corr with T2",mismatch,"The paper interprets the correlation using 95% confidence intervals and an external benchmark that ""a minimum correlation of .50 is necessary for good validity,"" whereas the code computes Pearson correlations (with default 95% CIs and tests against zero) and a cocor comparison but does not encode or check any r ≥ .50 validity criterion. Thus, the inferential criteria used conceptually in the paper are only partially represented in the implementation.",inference
10,"Correlation between negative affect anchor responses and negative affect change scores (Time 2 – Time 1), across the full sample.",Model Specification,"Firstly, for the anchor to be valid, it needs to correlate relatively strongly with the change scores. Indeed, this was the case for both positive affect (r = .54"" CI 95%[.49, .58]) and negative affect (r = .45"" CI 95% [.40, .50]).","#### correlation analyses with NA anchor ####
cor.test(data$NA_change, data$AnchorNA)",match,"The paper describes estimating a correlation between negative affect anchor responses and negative affect change scores, and the code implements this using a correlation test between NA_change and AnchorNA. Both use a Pearson-type correlation between the same variables on the full sample, so the model specifications align.",model
10,"Correlation between negative affect anchor responses and negative affect change scores (Time 2 – Time 1), across the full sample.",Variable Specification,"Firstly, for the anchor to be valid, it needs to correlate relatively strongly with the change scores. Indeed, this was the case for both positive affect (r = .54"" CI 95%[.49, .58]) and negative affect (r = .45"" CI 95% [.40, .50]).[...]I did the same to calculate the change scores for negative affect.[...]The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?""","data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...]
data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)

## each person's change score for PA and NA from D1 to D2
data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean
[...]
#### correlation analyses with NA anchor ####
cor.test(data$NA_change, data$AnchorNA)",match,"The paper describes correlating negative affect anchor responses with negative affect change scores, where change scores are Time 2 minus Time 1 PANAS negative affect means. The code implements this identically by computing NA_change as PANAS_NA_D2mean - PANAS_NA_D1mean and correlating it with AnchorNA across the full dataset.",variables
10,"Correlation between negative affect anchor responses and negative affect change scores (Time 2 – Time 1), across the full sample.",Transformation Specification,"""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.[...]To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect.[...]The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.""","data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...]
data$AnchorNA = as.character(data$AnchorNA)
[...]
data[data == "" Much less negative""] <- 1
[...]
data[data == "" A little less negative""] <- 2
[...]
data[data == "" A little more negative""] <- 4
[...]
data[data == "" Much more negative""] <- 5
[...]
data[, 77:78] <- sapply(data[, 77:78], as.integer)
[...]
data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)

## each person's change score for PA and NA from D1 to D2
[...]
data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean
[...]
#### correlation analyses with NA anchor ####
cor.test(data$NA_change, data$AnchorNA)",match,"Both the paper and code compute mean negative affect scores at Time 1 and Time 2 from the 10 PANAS NA items and then form unstandardized change scores as Time 2 minus Time 1 before correlating these with the anchor responses. The code additionally recodes the negative affect anchor categories to numeric values, which is consistent with treating the same anchor responses analyzed in the paper as an ordered variable for correlation.",transform
10,"Correlation between negative affect anchor responses and negative affect change scores (Time 2 – Time 1), across the full sample.",Inference Specification,"“Firstly, for the anchor to be valid, it needs to correlate relatively strongly with the change scores. Indeed, this was the case for both positive affect (r = .54"" CI 95%[.49, .58]) and negative affect (r = .45"" CI 95% [.40, .50]). Although some researchers have suggested that a minimum correlation of .50 is necessary for good validity (Devji et al., 2020), we should be wary of interpreting benchmarks too rigidly. The present results suggest that the anchor-responses are capturing change in the construct.”","#### correlation analyses with NA anchor ####
cor.test(data$NA_change, data$AnchorNA)
cor.test(data$PANAS_NA_D2mean, data$AnchorNA)
cor.test(data$PANAS_NA_D1mean, data$AnchorNA)

cocor(~NA_change + AnchorNA | PANAS_NA_D2mean + AnchorNA, data=data)
# anchor corr with change score < anchor corr with T2

cocor(~NA_change + AnchorNA | PANAS_NA_D1mean + AnchorNA, data=data)
# anchor corr with change score > anchor corr with T1",mismatch,"The paper’s inference specification uses 95% confidence intervals for r and compares the estimate to a suggested .50 benchmark for good validity, whereas the code runs standard cor.test and cocor procedures without encoding or testing against any .50 validity threshold. Thus, the inferential criterion described in the text (relative to .50) is not implemented in the code.",inference
11,"Correlation between positive affect anchor responses and Time 2 positive affect PANAS mean scores, across the full sample.",Model Specification,"“Secondly, the anchor needs to correlate with the Time 2 scores, which was also the case for both positive (r = .45"" CI 95%[.40, .50]) and negative affect (r = .48"" CI 95%[.42, .52]).”","#### correlation analyses with PA anchor ####
cor.test(data$PA_change, data$AnchorPA)
cor.test(data$PANAS_PA_D2mean, data$AnchorPA)
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)",match,"The paper describes computing a correlation (r) between the anchor and Time 2 scores, and the code implements this via `cor.test(data$PANAS_PA_D2mean, data$AnchorPA)`, i.e., a correlation test between the same two variables. Both therefore use a correlation test as the model specification for this analysis.",model
11,"Correlation between positive affect anchor responses and Time 2 positive affect PANAS mean scores, across the full sample.",Variable Specification,"""Secondly, the anchor needs to correlate with the Time 2 scores, which was also the case for both positive (r = .45"" CI 95%[.40, .50]) and negative affect (r = .48"" CI 95%[.42, .52]).""[...]""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.""[...]""The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?"".""","data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
[...]data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)
[...]cor.test(data$PANAS_PA_D2mean, data$AnchorPA)",match,"The paper specifies a correlation between Time 2 PANAS positive affect mean scores and Time 2 positive affect anchor responses, and the code computes a correlation between `PANAS_PA_D2mean` and `AnchorPA` on the full dataset. The variable constructions in the code (row-mean of Time 2 positive PANAS items and recoded anchor responses) match the paper’s descriptions.",variables
11,"Correlation between positive affect anchor responses and Time 2 positive affect PANAS mean scores, across the full sample.",Transformation Specification,"“Ten items measured positive affect (attentive, interested, alert, excited, enthusiastic, inspired, proud, determined, strong, and active) and ten items measured negative affect (distressed, upset, hostile, irritable, scared, afraid, ashamed, guilty, nervous, jittery). For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.” [...] “The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?"". Participants had five response options for each anchor item: much less positive/negative, a little less positive/negative, the same, a little more positive/negative, and much more positive/negative.” [...] “I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. The participants with missing responses had no data for any of the PANAS items at all, and giving the same response to all items indicates inattentive or unthoughtful responses. The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”","“## create new variables for PA and NA anchor items so responses for the anchors are
# in the same columns for both the people who saw the anchor before the PANAS 
# and those who saw the anchor after the PANAS
data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
data$AnchorPA = as.character(data$AnchorPA)
data$AnchorNA = as.character(data$AnchorNA)

# rename character values on the anchors to numbers
# some had a space in front and some had a space after
data[data == "" Much less positive""] <- 1
[...]
data[data == ""Much more negative ""] <- 5

# Save relevant columns as integer
data[, 77:78] <- sapply(data[, 77:78], as.integer)


#### mean of D1/T1 and D2/T2 scores for PA and NA ####

data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)
[...]
#### correlation analyses with PA anchor ####
cor.test(data$PA_change, data$AnchorPA)
cor.test(data$PANAS_PA_D2mean, data$AnchorPA)
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)”",match,"The paper states that Time 2 positive affect scores are the mean of 10 positive PANAS items and that the anchor is a 5-point response item, and the code implements this by computing rowMeans over the same 10 items and recoding the anchor text responses into numeric 1–5 before running cor.test. Any additional filtering (e.g., exclusions) appears to be handled in data preparation rather than in this script, so the implemented transformations for this correlation align with the described ones.",transform
11,"Correlation between positive affect anchor responses and Time 2 positive affect PANAS mean scores, across the full sample.",Inference Specification,"Secondly, the anchor needs to correlate with the Time 2 scores, which was also the case for both positive (r = .45"" CI 95%[.40, .50]) and negative affect (r = .48"" CI 95%[.42, .52]). Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor's correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02"" CI 95%[-.08, 0.04]; Zou, 2007). Critically, the anchor-responses should not reflect the present state more than they reflect change in the construct, and indeed the results show that this was not the case.","#### correlation analyses with PA anchor ####
cor.test(data$PA_change, data$AnchorPA)
cor.test(data$PANAS_PA_D2mean, data$AnchorPA)
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)

cocor(~PA_change + AnchorPA | PANAS_PA_D2mean + AnchorPA, data=data)
# anchor corr with change score > anchor corr with T2",match,"The paper bases inference on 95% confidence intervals for the correlation and for the difference between correlations using Zou's method, requiring the anchor–change correlation to be stronger than the anchor–Time 2 correlation. The code implements cor.test (with its default 95% CI) for the anchor–Time 2 correlation and uses cocor to compare it to the anchor–change correlation, matching the inferential approach described in the paper.",inference
12,"Correlation between negative affect anchor responses and Time 2 negative affect PANAS mean scores, across the full sample.",Model Specification,"“Secondly, the anchor needs to correlate with the Time 2 scores, which was also the case for both positive (r = .45"" CI 95%[.40, .50]) and negative affect (r = .48"" CI 95%[.42, .52]).”","cor.test(data$PANAS_NA_D2mean, data$AnchorNA)",match,"Both the paper and the code use a correlation analysis between the negative affect anchor responses and the Time 2 negative affect mean scores (implemented via cor.test, i.e., a Pearson correlation). The reported correlation coefficient r = .48 in the paper corresponds to the Pearson correlation computed in the code.",model
12,"Correlation between negative affect anchor responses and Time 2 negative affect PANAS mean scores, across the full sample.",Variable Specification,"""Secondly, the anchor needs to correlate with the Time 2 scores, which was also the case for both positive (r = .45"" CI 95%[.40, .50]) and negative affect (r = .48"" CI 95%[.42, .52]).""[...]""Ten items measured negative affect (distressed, upset, hostile, irritable, scared, afraid, ashamed, guilty, nervous, jittery)... For Time 1 and Time 2 separately, I averaged... the negative affect items to produce a mean score for negative affect.""[...]""The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?""""","data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...]
data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)
[...]
cor.test(data$PANAS_NA_D2mean, data$AnchorNA)",match,"The paper describes correlating Time 2 negative affect mean scores with the negative affect anchor responses, and the code computes a correlation between `PANAS_NA_D2mean` and `AnchorNA` for the full dataset. Both implementations thus use the same two variables in the same correlational role.",variables
