analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A2,transformation ,"""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean  score for negative affect. To calculate each participant’s change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.""",text,data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean,"""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":77",1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.","“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.” [...] “As per the anchor-based approach for determining the smallest subjectively experienced difference in affect (Anvari & Lakens, 2021), I subcategorized partic-ipants into five groups based on their responses to the anchor item and, for each subcategory, I calculated the average change score from Time 1 to Time 2. I did this separately for participants who saw the anchor-item before the PANAS and those who saw the anchor-item after.” [...] “I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey... The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”",,"data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...]
data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)
[...]
data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
[...]
data_before = data[data$Anchor.Position==""Anchor Before"", ]
[...]
data_after = data[data$Anchor.Position==""Anchor After"", ]
[...]
# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])",,1
A2,inference criteria,"""but this was not a statistically significant difference, t(351.87) = 0.83, p = .409, mean difference = 0.05, CI 95%[-0.07, 0.17], d = 0.09, CI 95%[-0.12, 0.29].""",text,"t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":509",1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.","In the analyses I used Welch's independent samples t-tests.[...]For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after (M = 0.15, SD = 0.63), but this was not a statistically significant difference, t(351.87) = 0.83, p = .409, mean difference = 0.05, CI 95%[-0.07, 0.17], d = 0.09, CI 95%[-0.12, 0.29].",,"# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])
[...]
cohen.d(data_after$PA_change[data_after$AnchorPA==4],
        data_before$PA_change[data_before$AnchorPA==4],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",,1
A3,model specification,"""In the analyses I used Welch’s independent samples t-tests""",text,"# direct test comparing the ""same"" groups for PA after vs before
t.test(data_after$PA_change[data_after$AnchorPA==3], data_before$PA_change[data_before$AnchorPA==3])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":508-509",0,,,,,,
A3,variable specification,"""the average change score for people who said that they felt “the same” was negative, regardless of whether they saw the anchor before or after the PANAS;""",text,"data[data == "" The same""] <- 3
data[data == ""The same ""] <- 3 […]  data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean [...]  data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...]t.test(data_after$PA_change[data_after$AnchorPA==3], data_before$PA_change[data_before$AnchorPA==3])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":43-44; 77; 83; 270; 509",1,,,,,,
A3,transformation ,,,,,,,,,,,
A3,variable specification,"""the average change score for people who said that they felt “the same” was negative, regardless of whether they saw the anchor before or after the PANAS;""",text,"data[data == "" The same""] <- 3
data[data == ""The same ""] <- 3 […]  data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean [...]  data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==3], data_before$PA_change[data_before$AnchorPA==3])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":43-44; 78; 83; 270; 509",1,,,,,,
A3,transformation ,"""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean  score for negative affect. To calculate each participant’s change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.""",text,data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean,"""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":77",1,,,,,,
A3,inference criteria,"""(Mbefore = -0.14, SDbefore = 0.60; Mafter = -0.16, SDafter = 0.53), mean difference = 0.02, CI 95%[-0.12, 0.16].""",text,"t.test(data_after$PA_change[data_after$AnchorPA==3], data_before$PA_change[data_before$AnchorPA==3])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""; ""./pilot_paper/anvari_2023/effect_size_d_paired_function.R"":509",1,,,,,,
A4,model specification,"""In the analyses I used Welch’s independent samples t-tests […] d = 0.12""",text,"# SDs & test for ""a little less negative"" before vs after
t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])
cohen.d(data_after$NA_change[data_after$AnchorNA==2],
        data_before$NA_change[data_before$AnchorNA==2],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":476-477; 480-484",1,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little less negative” on the negative anchor item.","“In the analyses I used Welch's independent samples t-tests.” [...] “For negative affect, of the people who said they felt a little less negative, those who saw the anchor before (M = -0.22, SD = 0.50) the PANAS had a slightly lower change score, in absolute terms, as compared to those who saw the anchor after (M = -0.29, SD = 0.56), though this difference wasn't statistically significant, t(347.49) = 1.10, p = .272, mean difference = 0.07, CI 95%[-0.05, 0.17], d = 0.12, CI 95%[-0.09, 0.33].”",,"# SDs & test for ""a little less negative"" before vs after
t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])",,1
A4,variable specification,"""For negative affect, of the people who said they felt a little less negative, those who saw the anchor before (M = -0.22, SD = 0.50) the PANAS""",text,"data[data == "" A little less negative""] <- 2
data[data == ""A little less negative ""] <- 2[…]  data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean [...]  data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":49-50; 78; 83; 270; 469",1,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little less negative” on the negative anchor item.","“To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.”[...]“For negative affect, of the people who said they felt a little less negative, those who saw the anchor before (M = -0.22, SD = 0.50) the PANAS had a slightly lower change score, in absolute terms, as compared to those who saw the anchor after (M = -0.29, SD = 0.56), though this difference wasn't statistically significant, t(347.49) = 1.10, p = .272, mean difference = 0.07, CI 95%[-0.05, 0.17], d = 0.12, CI 95%[-0.09, 0.33].”",,"data[data == "" A little less negative""] <- 2
[...]
data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)

data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean
[...]
data_before = data[data$Anchor.Position==""Anchor Before"", ]
[...]
data_after = data[data$Anchor.Position==""Anchor After"", ]
[...]
# SDs & test for ""a little less negative"" before vs after
 t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])
 sd(data_before$NA_change[data_before$AnchorNA==2])
 sd(data_after$NA_change[data_after$AnchorNA==2])
 cohen.d(data_after$NA_change[data_after$AnchorNA==2],
        data_before$NA_change[data_before$AnchorNA==2],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",,1
A4,transformation ,,,,,,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little less negative” on the negative anchor item.","“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.” [...] “I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. [...] The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.” [...] “As per the anchor-based approach for determining the smallest subjectively experienced difference in affect (Anvari & Lakens, 2021), I subcategorized partic-ipants into five groups based on their responses to the anchor item and, for each subcategory, I calculated the average change score from Time 1 to Time 2. I did this separately for participants who saw the anchor-item before the PANAS and those who saw the anchor-item after.” [...] “For negative affect, of the people who said they felt a little less negative, those who saw the anchor before (M = -0.22, SD = 0.50) the PANAS had a slightly lower change score, in absolute terms, as compared to those who saw the anchor after (M = -0.29, SD = 0.56)… ”",,"data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After) data$AnchorNA = as.character(data$AnchorNA) [...] data[data == "" Much less negative""] <- 1 data[data == ""Much less negative ""] <- 1 data[data == "" A little less negative""] <- 2 data[data == ""A little less negative ""] <- 2 data[data == "" A little more negative""] <- 4 data[data == ""A little more negative ""] <- 4 data[data == "" Much more negative""] <- 5 data[data == ""Much more negative ""] <- 5 [...] data[, 77:78] <- sapply(data[, 77:78], as.integer) [...] data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset',   'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid',   'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE) data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset',   'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid',   'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE) [...] data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] [...] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])",,1
