analysis_id,dimension,manuscript_content,manuscript_location,code_content,code_file,code_lines,results,data_needed,data_available,notes,Unnamed: 11,dimension_norm,paper_id,human_analysis_id,codebot_analysis_id,link_type,confidence
A1.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.2,2,fragment_of,0.9
A1.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.2,2,fragment_of,0.9
A1.3,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,0.0,data about self-reports not in data file/code but shown in the table 3,,model,elson_2020,A1.3,3,exact,0.9
A1.3,variable specification,""" 4. Sophistication of theory 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,1,0.0,,,variables,elson_2020,A1.3,3,exact,0.9
A1.3,variable specification,""" 4. Sophistication of theory 1""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,1,0.0,1 stands for self-reported familiarity,,variables,elson_2020,A1.3,3,exact,0.9
A1.3,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.3,3,exact,0.9
A1.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,Na,,,,transform,elson_2020,A1.3,3,exact,0.9
A1.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,Na,,,,transform,elson_2020,A1.3,3,exact,0.9
A1.4,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,0.0,data about self-reports not in data file/code but shown in the table 3,,model,elson_2020,A1.4,4,exact,0.9
A1.4,variable specification,"""5. Appropriateness of methods and design 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,,,,,variables,elson_2020,A1.4,4,exact,0.9
A1.4,variable specification,"""5. Appropriateness of methods and design 1""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,,,1 stands for self-reported familiarity,,variables,elson_2020,A1.4,4,exact,0.9
A1.4,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.4,4,exact,0.9
A1.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.4,4,exact,0.9
A1.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.4,4,exact,0.9
A1.5,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,0.0,data about self-reports not in data file/code but shown in the table 3,,model,elson_2020,A1.5,5,fragment_of,0.86
A1.5,variable specification,"""6. Presentation and discussion of results 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,,,,,variables,elson_2020,A1.5,5,fragment_of,0.86
A1.5,variable specification,"""6. Presentation and discussion of results 1""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,,,1 stands for self-reported familiarity,,variables,elson_2020,A1.5,5,fragment_of,0.86
A1.5,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.5,5,fragment_of,0.86
A1.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.5,5,fragment_of,0.86
A1.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.5,5,fragment_of,0.86
A1.6,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,0.0,data about self-reports not in data file/code but shown in the table 3,,model,elson_2020,A1.6,6,fragment_of,0.86
A1.6,variable specification,"""7. Overall recommendation 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,,,,,variables,elson_2020,A1.6,6,fragment_of,0.86
A1.6,variable specification,"""7. Overall recommendation 1""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,,,1 stands for self-reported familiarity,,variables,elson_2020,A1.6,6,fragment_of,0.86
A1.6,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.6,6,fragment_of,0.86
A1.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.6,6,fragment_of,0.86
A1.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.6,6,fragment_of,0.86
A1.7,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,0.0,data about self-reports not in data file/code but shown in the table 3,,model,elson_2020,A1.7,,no_match,0.0
A1.7,variable specification,"""8. Total score 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",0.0,1,0.0,,,variables,elson_2020,A1.7,,no_match,0.0
A1.7,variable specification,"""8. Total score 1""",table,"file cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",0.0,1,0.0,1 stands for self-reported familiarity,,variables,elson_2020,A1.7,,no_match,0.0
A1.7,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.7,,no_match,0.0
A1.7,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.7,,no_match,0.0
A1.7,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,1,0.0,would need raw data from before the processing,,transform,elson_2020,A1.7,,no_match,0.0
A1.8,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.8,8,exact,0.9
A1.8,variable specification,"""3. Quality of writing 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.8,8,exact,0.9
A1.8,variable specification,"""3. Quality of writing 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,2 stands for significance to media psychology,,variables,elson_2020,A1.8,8,exact,0.9
A1.8,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.8,8,exact,0.9
A1.8,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.8,8,exact,0.9
A1.8,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.8,8,exact,0.9
A1.9,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.9,9,exact,0.86
A1.9,variable specification,"""4. Sophistication of theory 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.9,9,exact,0.86
A1.9,variable specification,"""4. Sophistication of theory 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,2 stands for significance to media psychology,,variables,elson_2020,A1.9,9,exact,0.86
A1.9,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.9,9,exact,0.86
A1.9,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.9,9,exact,0.86
A1.9,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.9,9,exact,0.86
A1.10,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.10,,no_match,0.0
A1.10,variable specification,"""5. Appropriateness of methods and design 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.10,,no_match,0.0
A1.10,variable specification,"""5. Appropriateness of methods and design 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,2 stands for significance to media psychology,,variables,elson_2020,A1.10,,no_match,0.0
A1.10,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.10,,no_match,0.0
A1.10,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.10,,no_match,0.0
A1.10,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.10,,no_match,0.0
A1.11,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.11,,no_match,0.0
A1.11,variable specification,"""6. Presentation and discussion of results 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.11,,no_match,0.0
A1.11,variable specification,"""6. Presentation and discussion of results 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,2 stands for significance to media psychology,,variables,elson_2020,A1.11,,no_match,0.0
A1.11,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.11,,no_match,0.0
A1.11,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.11,,no_match,0.0
A1.11,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.11,,no_match,0.0
A1.12,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.12,12,exact,0.86
A1.12,variable specification,"""7. Overall recommendation 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.12,12,exact,0.86
A1.12,variable specification,"""7. Overall recommendation 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,2 stands for significance to media psychology,,variables,elson_2020,A1.12,12,exact,0.86
A1.12,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.12,12,exact,0.86
A1.12,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.12,12,exact,0.86
A1.12,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.12,12,exact,0.86
A1.13,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.13,,no_match,0.0
A1.13,variable specification,"""8. Total score 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.13,,no_match,0.0
A1.13,variable specification,"""8. Total score 2""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,2 stands for significance to media psychology,,variables,elson_2020,A1.13,,no_match,0.0
A1.13,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.13,,no_match,0.0
A1.13,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,1,0.0,would need raw data from before the processing,,transform,elson_2020,A1.13,,no_match,0.0
A1.13,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.13,,no_match,0.0
A1.14,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.14,14,exact,0.9
A1.14,variable specification,"""4. Sophistication of theory 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.14,14,exact,0.9
A1.14,variable specification,"""4. Sophistication of theory 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,3 = quality of writing,,variables,elson_2020,A1.14,14,exact,0.9
A1.14,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.14,14,exact,0.9
A1.14,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.14,14,exact,0.9
A1.14,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.14,14,exact,0.9
A1.15,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.15,,no_match,0.0
A1.15,variable specification,"""5. Appropriateness of methods and design 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.15,,no_match,0.0
A1.15,variable specification,"""5. Appropriateness of methods and design 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,3 = quality of writing,,variables,elson_2020,A1.15,,no_match,0.0
A1.15,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.15,,no_match,0.0
A1.15,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.15,,no_match,0.0
A1.15,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.15,,no_match,0.0
A1.16,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.16,,no_match,0.0
A1.16,variable specification,"""6. Presentation and discussion of results 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.16,,no_match,0.0
A1.16,variable specification,"""6. Presentation and discussion of results 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,3 = quality of writing,,variables,elson_2020,A1.16,,no_match,0.0
A1.16,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.16,,no_match,0.0
A1.16,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.16,,no_match,0.0
A1.16,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.16,,no_match,0.0
A1.17,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.17,,no_match,0.0
A1.17,variable specification,"""7. Overall recommendations 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.17,,no_match,0.0
A1.17,variable specification,"""7. Overall recommendations 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,3 = quality of writing,,variables,elson_2020,A1.17,,no_match,0.0
A1.17,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.17,,no_match,0.0
A1.17,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.17,,no_match,0.0
A1.17,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.17,,no_match,0.0
A1.18,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,data about self-reports not in data file/code but shown in the table 3,,model,elson_2020,A1.18,,no_match,0.0
A1.18,variable specification,"""8. Total score 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.18,,no_match,0.0
A1.18,variable specification,"""8. Total score 3""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,3 = quality of writing,,variables,elson_2020,A1.18,,no_match,0.0
A1.18,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.18,,no_match,0.0
A1.18,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,1,0.0,would need raw data from before the processing,,transform,elson_2020,A1.18,,no_match,0.0
A1.18,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,1,0.0,,,transform,elson_2020,A1.18,,no_match,0.0
A1.19,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.19,19,exact,0.9
A1.19,variable specification,"""5. Appropriateness of methods and design 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.19,19,exact,0.9
A1.19,variable specification,"""5. Appropriateness of methods and design 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,4 = sophistication of theory,,variables,elson_2020,A1.19,19,exact,0.9
A1.19,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.19,19,exact,0.9
A1.19,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.19,19,exact,0.9
A1.19,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.19,19,exact,0.9
A1.20,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.20,16,exact,0.9
A1.20,variable specification,"""6. Presentation and discussion of results 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.20,16,exact,0.9
A1.20,variable specification,"""6. Presentation and discussion of results 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,4 = sophistication of theory,,variables,elson_2020,A1.20,16,exact,0.9
A1.20,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.20,16,exact,0.9
A1.20,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.20,16,exact,0.9
A1.20,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.20,16,exact,0.9
A1.21,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.21,21,exact,0.9
A1.21,variable specification,"""7. Overall recommendation 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.21,21,exact,0.9
A1.21,variable specification,"""7. Overall recommendation 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,4 = sophistication of theory,,variables,elson_2020,A1.21,21,exact,0.9
A1.21,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.21,21,exact,0.9
A1.21,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.21,21,exact,0.9
A1.21,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.21,21,exact,0.9
A1.22,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.22,,no_match,0.0
A1.22,variable specification,"""8. Total score 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.22,,no_match,0.0
A1.22,variable specification,"""8. Total score 4""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,4 = sophistication of theory,,variables,elson_2020,A1.22,,no_match,0.0
A1.22,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.22,,no_match,0.0
A1.22,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,1,0.0,would need raw data from before the processing,,transform,elson_2020,A1.22,,no_match,0.0
A1.22,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.22,,no_match,0.0
A1.23,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.23,,no_match,0.0
A1.23,variable specification,"""6. Presentation and discussion of results 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.23,,no_match,0.0
A1.23,variable specification,"""6. Presentation and discussion of results 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,5 = appropriateness of methods and design,,variables,elson_2020,A1.23,,no_match,0.0
A1.23,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.23,,no_match,0.0
A1.23,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.23,,no_match,0.0
A1.23,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.23,,no_match,0.0
A1.24,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.24,24,fragment_of,0.86
A1.24,variable specification,"""7. Overall recommendation 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.24,24,fragment_of,0.86
A1.24,variable specification,"""7. Overall recommendation 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,5 = appropriateness of methods and design,,variables,elson_2020,A1.24,24,fragment_of,0.86
A1.24,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.24,24,fragment_of,0.86
A1.24,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.24,24,fragment_of,0.86
A1.24,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.24,24,fragment_of,0.86
A1.25,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.25,7,exact,0.96
A1.25,variable specification,"""8. Total score 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.25,7,exact,0.96
A1.25,variable specification,"""8. Total score 5""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,5 = appropriateness of methods and design,,variables,elson_2020,A1.25,7,exact,0.96
A1.25,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.25,7,exact,0.96
A1.25,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,1,0.0,would need raw data from before the processing,,transform,elson_2020,A1.25,7,exact,0.96
A1.25,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.25,7,exact,0.96
A1.26,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,model,elson_2020,A1.26,17,exact,0.9
A1.26,variable specification,"""7. Overall recommendation 6""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,,,variables,elson_2020,A1.26,17,exact,0.9
A1.26,variable specification,"""7. Overall recommendation 6""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,1.0,6 = presentation and discussion of results,,variables,elson_2020,A1.26,17,exact,0.9
A1.26,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.26,17,exact,0.9
A1.26,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.26,17,exact,0.9
A1.26,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.26,17,exact,0.9
